Pariticipant,Topic,Goal,Stage.of.Analysis,Mention,Decision,Strategy,Reason,Impact,Threat.to.Validity,Need
10,Behavioral and pharmacological treatments for PTST and SUD,Advocate for change in treatment,Communication,Firsthand,"Frame practical prediction with domain expertise, not just data",Acknowledge,Domain knowledge,Indirect,Commodified treatments propped up by cherry-picked results,
10,Behavioral and pharmacological treatments for PTST and SUD,Advocate for change in treatment,Defining questions and objectives,Firsthand,Take account of previous meta-analysis and try to extend and improve upon it,Acknowledge,Comprehensiveness,Indirect,,
10,Behavioral and pharmacological treatments for PTST and SUD,Advocate for change in treatment,Communication,Firsthand,Use forest plots to communicate findings,Reduce,Ease of understanding,Direct,,
10,Behavioral and pharmacological treatments for PTST and SUD,Advocate for change in treatment,Communication,Firsthand,Emphasize importance of treatment effect at longest follow-up as opposed to immediate post-test,Reduce,Domain knowledge,Indirect,,
10,Behavioral and pharmacological treatments for PTST and SUD,Advocate for change in treatment,Communication,Firsthand,Present consistently formatted summaries for each outcome of interest,Reduce,Ease of understanding,Indirect,,
10,Behavioral and pharmacological treatments for PTST and SUD,Advocate for change in treatment,Meta-analysis,Firsthand,Use separate models for overall effect vs effects of grouping,Reduce,Research questions,Direct,,
10,Behavioral and pharmacological treatments for PTST and SUD,Advocate for change in treatment,Communication,Firsthand,Walk through distribution of effect sizes across study groups in a forest plot to contextualize effective treatments,Acknowledge,Conceptual clarity,Indirect,,
10,Behavioral and pharmacological treatments for PTST and SUD,Advocate for change in treatment,Meta-analysis,Firsthand,Use forest plots for outlier detection,Acknowledge,Caution,Indirect,,
10,Behavioral and pharmacological treatments for PTST and SUD,Advocate for change in treatment,Communication,Hypothetical,Call out individual outlier studies when they are interesting,Acknowledge,Limited availability of information,Indirect,,
10,Behavioral and pharmacological treatments for PTST and SUD,Advocate for change in treatment,Meta-analysis,Firsthand,Meta-analyze heterogeneous literature at the risk of potentially important treatments getting lost in the aggregate,Suppress,Limited availability of information,Direct,Effect sizes represent what you tell your model to estimate; they do not tell the truth behind the data,
10,Behavioral and pharmacological treatments for PTST and SUD,Advocate for change in treatment,Communication,Hypothetical,Converting back at original units of measurement for select outlier studies of potentially promising treatments,Acknowledge,Limited availability of information,Indirect,,
10,Behavioral and pharmacological treatments for PTST and SUD,Advocate for change in treatment,Meta-analysis,Firsthand,Look at within-subjects studies (separately from between-subjects) to assess individual impact,Acknowledge,Domain knowledge,Direct,Easy to overstate the practical importance of small between-subjects effects,
10,Behavioral and pharmacological treatments for PTST and SUD,Advocate for change in treatment,Meta-analysis,Firsthand,Use forest plots for visual (rather than statistically tested) pairwise comparisons,Suppress,Standard practice,Direct,Visual comparisons don't correct for inflated false-positive rate,
10,Behavioral and pharmacological treatments for PTST and SUD,Advocate for change in treatment,Meta-analysis,Secondhand,Meta-analyze only between-subjects studies,Suppress,Standard practice,Direct,Meta-analyses test to focus only on between-subjects studies,
10,Behavioral and pharmacological treatments for PTST and SUD,Advocate for change in treatment,Meta-analysis,Hypothetical,Meta-analyze both within- and between-subjects studies separately because they are measuring different things,Reduce,Conceptual clarity,Direct,Meta-analytically combining different study designs leads to effect sizes that are hard to interpret,
10,Behavioral and pharmacological treatments for PTST and SUD,Advocate for change in treatment,Data collection,Firsthand,Include someone experienced in meta-analysis on the review team,Acknowledge,Domain knowledge,Indirect,"For novices all of the steps (e.g., how to set up the codebook, how to derive effect sizes from whatever is reported, etc.) are not intuitive",
10,Behavioral and pharmacological treatments for PTST and SUD,Advocate for change in treatment,Defining questions and objectives,Hypothetical,Define research questions based on organizational mandate rather than domain knowledge,Suppress,Limited control of research objectives,Direct,Expertise of the review team limits the quality of the review,
10,Behavioral and pharmacological treatments for PTST and SUD,Advocate for change in treatment,Literature review,Hypothetical,Exclude studies from review because information is presented in unfamiliar way,Suppress,Lack of knowledge,Direct,Non-traditional presentations of study outcomes present challenges to review,
10,Behavioral and pharmacological treatments for PTST and SUD,Advocate for change in treatment,Data collection,Hypothetical,Code methodological details to track risk of bias,Acknowledge,Comprehensiveness,Indirect,No standard risk of bias/quality assessment for behavioral studies,
1,Cost effectiveness of various healthcare interventions,Help FDA make regulatory decisions,Quantitative Analysis,Firsthand,"Draw on information from different sources to inform various parameters in cost effectiveness model (i.e., not conventional meta-analysis)",Reduce,Comprehensiveness,Direct,,
1,Cost effectiveness of various healthcare interventions,Help FDA make regulatory decisions,Communication,Hypothetical,Show multiple credible ranges in CIs to match different levels of risk tolerance,Reduce,Ease of understanding,Indirect,Don't know the risk tolerance of decision-makers,
1,Cost effectiveness of various healthcare interventions,Help FDA make regulatory decisions,Defining questions and objectives,Hypothetical,Begin research by looking at whether other people have answered your question,Acknowledge,Comprehensiveness,Indirect,,
1,Cost effectiveness of various healthcare interventions,Help FDA make regulatory decisions,Defining questions and objectives,Hypothetical,Conduct systematic review instead of meta-analysis for highly heterogeneous literature,Acknowledge,Conceptual clarity,Direct,,
1,Cost effectiveness of various healthcare interventions,Evaluate impact of tobacco on health outcomes,Meta-analysis,Hypothetical,Only include studies in meta-analysis if they are estimating the same parameter,Reduce,Research questions,Direct,,
1,Cost effectiveness of various healthcare interventions,Evaluate impact of tobacco on health outcomes,Meta-analysis,Hypothetical,Use derived measures to compare different treatment conditions on a common unit of measurement,Reduce,Consistency,Direct,,
1,Cost effectiveness of various healthcare interventions,Evaluate impact of tobacco on health outcomes,Meta-analysis,Hypothetical,Meta-analyze each treatment category separately,Reduce,Conceptual clarity,Direct,Quality of meta-analysis suffers with too much heterogeneity in treatments or outcomes,
1,Cost effectiveness of various healthcare interventions,Evaluate impact of tobacco on health outcomes,Communication,Hypothetical,Use systematic review to summarize multiple meta-analytic results looking at different treatments,Acknowledge,Conceptual clarity,Direct,,
1,Cost effectiveness of various healthcare interventions,Help FDA make regulatory decisions,Meta-analysis,Hypothetical,Only pool results from randomized and longitudinal study designs if there are no time-varying confounders,Reduce,Domain knowledge,Direct,Randomized vs longitudinal studies have different potential confounds,
1,Cost effectiveness of various healthcare interventions,Help FDA make regulatory decisions,Meta-analysis,Hypothetical,Evaluate risk of bias in individual studies before including them in meta-analysis,Acknowledge,Domain knowledge,Direct,Studies vary in their internal and external validity,
1,Cost effectiveness of various healthcare interventions,Help FDA make regulatory decisions,Meta-analysis,Hypothetical,Use random effects meta-analysis,Reduce,Standard practice,Direct,,
1,Cost effectiveness of various healthcare interventions,Help FDA make regulatory decisions,Meta-analysis,Hypothetical,Incorporate observed confounds as predictors in meta-regression,Reduce,Comprehensiveness,Direct,,
1,Cost effectiveness of various healthcare interventions,Help FDA make regulatory decisions,Data collection,Hypothetical,Use standard questionnaires for each type of study design to rate quality,Reduce,Standard practice,Indirect,Unobserved confounds cannot be modeled,
1,Cost effectiveness of various healthcare interventions,Help FDA make regulatory decisions,Meta-analysis,Hypothetical,Use quality ratings as inclusion criterion for meta-analysis,Reduce,Caution,Direct,,
1,Science communication,Software to help healthcare payers understand scientific literature,Literature review,Hypothetical,"Grade overall quality of body of evidence in literature, having just rated the quality of each individual study",Reduce,Standard practice,Indirect,,Need visual presentation of quality evaluation
1,Science communication,Software to help healthcare payers understand scientific literature,Literature review,Hypothetical,Rate study quality before coding study information for efficiency,Reduce,Limited time and attention,Indirect,,
1,Science communication,Software to help healthcare payers understand scientific literature,Literature review,Hypothetical,Use systematic review to point out problems in literature with low overall quality,Acknowledge,Limited availability of information,Direct,,
1,Science communication,Software to help healthcare payers understand scientific literature,Literature review,Secondhand,Discuss discordant pairs of quality ratings from independent reviewers,Acknowledge,Confidence through consensus,Indirect,,
1,Cost effectiveness of various healthcare interventions,Help FDA make regulatory decisions,Communication,Firsthand,Avoid 3D graphics,Reduce,Ease of understanding,Indirect,,
1,Cost effectiveness of various healthcare interventions,Help FDA make regulatory decisions,Communication,Firsthand,Use color to bring out the story in a visualization,Reduce,Ease of understanding,Indirect,,
1,Cost effectiveness of various healthcare interventions,Help FDA make regulatory decisions,Communication,Firsthand,Avoid encoding more than three or four variables in a visualization,Reduce,Ease of understanding,Indirect,Over-encoded visualizations are confusing,
1,Cost effectiveness of various healthcare interventions,Help FDA make regulatory decisions,Communication,Secondhand,"Present effect sizes with uncertainty as acceptability probabilities (i.e., proportion of probability mass above desired threshold)",Reduce,Preference,Indirect,,
7,Speaking as editor of journal on sleep that receives many manuscripts about meta-analyses,Improvements in public health via improved quality of sleep,Communication,Hypothetical,Question the precision of effect size estimates from small samples,Acknowledge,Statistical power,Indirect,People treat statistical significance as a measure of the truth value of an effect,Gentle reminders or suggestions at choice points
7,Speaking as editor of journal on sleep that receives many manuscripts about meta-analyses,Improvements in public health via improved quality of sleep,Communication,Hypothetical,Report results of meta-analysis as inconclusive,Acknowledge,Caution,Direct,Researchers tend to overstate the practical importance of findings,
7,Speaking as editor of journal on sleep that receives many manuscripts about meta-analyses,Improvements in public health via improved quality of sleep,Defining questions and objectives,Hypothetical,Conduct meta-analysis only when literature is relatively homogeneous and study quality is high,Reduce,Conceptual clarity,Direct,Researchers often skip checks of data quality and statistical model assumptions,Need standard risk of bias/quality assessment
7,Impact of Valerian on sleep quality,Improvements in public health via improved quality of sleep,Literature review,Firsthand,Include foreign-language literature in review,Reduce,Comprehensiveness,Direct,,
7,Predictors of sleep quality,Improvements in public health via improved quality of sleep,Defining questions and objectives,Firsthand,Plan to code important moderating variables to parse heterogeneity among studies and answer a priori questions,Acknowledge,Domain knowledge,Direct,,
7,Predictors of sleep quality,Improvements in public health via improved quality of sleep,Meta-analysis,Firsthand,Separate analyses for only homogeneous studies with good controls vs studies that add heterogeneity to your sample,Reduce,Research questions,Direct,,
7,Predictors of sleep quality,Improvements in public health via improved quality of sleep,Defining questions and objectives,Hypothetical,Identify what is important to abstract from articles before the literature review,Acknowledge,Domain knowledge,Direct,Failing to recognize what is important from the outset of the review can lead to wasted time or a poor quality review,
7,Predictors of sleep quality,Improvements in public health via improved quality of sleep,Defining questions and objectives,Hypothetical,Check adequacy of the codebook based on partial literature review,Acknowledge,Comprehensiveness,Indirect,,
7,Predictors of sleep quality,Improvements in public health via improved quality of sleep,Defining questions and objectives,Hypothetical,Include a content expert in the review team to guide the development of the study framework and the interpretation of results,Acknowledge,Conceptual clarity,Indirect,Lack of domain knowledge leads to uninformed interpretations,
7,Predictors of sleep quality,Improvements in public health via improved quality of sleep,Defining questions and objectives,Hypothetical,Seek guidance from multiple content experts with opposed views to avoid investigator bias on contentious topics,Acknowledge,Caution,Indirect,Questions posed in a biased fashion lead to bad answers,
7,Predictors of sleep quality,Improvements in public health via improved quality of sleep,Defining questions and objectives,Hypothetical,Define variables of interest consistent with operational definitions in the literature,Reduce,Limited availability of information,Direct,,
7,Predictors of sleep quality,Improvements in public health via improved quality of sleep,Literature review,Secondhand,Explore search terms based on size of the literature,Acknowledge,Limited availability of information,Direct,Some search terms will not yield enough studies to review,
7,Predictors of sleep quality,Improvements in public health via improved quality of sleep,Communication,Firsthand,Use risk ratios to communicate effect size in field of sleep research,Reduce,Standard practice,Indirect,,
7,Predictors of sleep quality,Improvements in public health via improved quality of sleep,Communication,Hypothetical,Communicate effect size through real-world examples,Reduce,Ease of understanding,Indirect,Audience may be unfamiliar with units of measurement,
9,Impact of mindfulness interventions on PTSD and SUD,Advocate for change in treatment,Defining questions and objectives,Firsthand,Group studies by institutional definitions for different types of treatments,Reduce,Standard practice,Direct,,
9,Impact of mindfulness interventions on PTSD and SUD,Advocate for change in treatment,Literature review,Firsthand,Search four different databases plus archive of relevant papers,Reduce,Comprehensiveness,Direct,,
9,Impact of mindfulness interventions on PTSD and SUD,Advocate for change in treatment,Literature review,Firsthand,Double-code abstract inclusion and exclusion,Acknowledge,Confidence through consensus,Direct,,
9,Impact of mindfulness interventions on PTSD and SUD,Advocate for change in treatment,Literature review,Firsthand,"Use locally installed software packages (e.g., Excel) for collaborative coding",Reduce,Preference,Indirect,,Issues with server access make work inefficient
9,Impact of mindfulness interventions on PTSD and SUD,Advocate for change in treatment,Literature review,Firsthand,Manually integrate the literature search,Suppress,Limited support from software tools,Indirect,Manual integration of database queries involves a lot of potential for human error,"Need automated retrieval of abstracts, PDFs, and study metadata from multiple databases with removal of duplicates"
9,Impact of mindfulness interventions on PTSD and SUD,Advocate for change in treatment,Literature review,Firsthand,Constantly update the codebook based on inclusion and exclusion decisions for studies reviewed,Acknowledge,Consistency,Indirect,,Customize and share codebook throughout the review
9,Impact of mindfulness interventions on PTSD and SUD,Advocate for change in treatment,Defining questions and objectives,Firsthand,Don't preregister analysis plan,Suppress,Limited foresight,Direct,,
9,Impact of mindfulness interventions on PTSD and SUD,Advocate for change in treatment,Defining questions and objectives,Firsthand,Pursue questions based on whether literature contains appropriate amount of evidence for review,Reduce,Limited availability of information,Direct,,
9,Remote measurement-based mental health monitoring,Determine effectiveness of new technology,Literature review,Firsthand,Iteratively explore poorly circumscribed search terms,Acknowledge,Comprehensiveness,Direct,Poorly circumscribed search terms lead to many possible database queries and different ways of scoping the literature review,
9,Remote measurement-based mental health monitoring,Determine effectiveness of new technology,Literature review,Firsthand,Define search terms based discussions with collaborators,Acknowledge,Confidence through consensus,Direct,,
9,Remote measurement-based mental health monitoring,Determine effectiveness of new technology,Literature review,Firsthand,Choose search terms based on size and conceptual scope of literature,Reduce,Limited availability of information,Direct,,Need feedback on number of studies and content of studies found through queries on different possible search terms
9,Impact of mindfulness interventions on PTSD and SUD,Advocate for change in treatment,Communication,Firsthand,Break a survey of the literature into multiple separate systematic reviews,Acknowledge,Conceptual clarity,Indirect,,
9,Impact of mindfulness interventions on PTSD and SUD,Advocate for change in treatment,Communication,Firsthand,"Present numerical summary provided by meta-analysis as definitive (i.e., “a number to hang your hat on”)",Reduce,Ease of understanding,Indirect,,
9,Remote measurement-based mental health monitoring,Determine effectiveness of new technology,Literature review,Firsthand,Document rationale for every decision in codebook,Acknowledge,Reproducibility,Indirect,,
9,Remote measurement-based mental health monitoring,Determine effectiveness of new technology,Literature review,Firsthand,Check study inclusion and exclusion against a written description of the sample,Reduce,Consistency,Direct,,
9,Remote measurement-based mental health monitoring,Determine effectiveness of new technology,Literature review,Firsthand,Discuss disagreement on inclusions and exclusions from independent reviewers,Acknowledge,Confidence through consensus,Indirect,,
9,Impact of mindfulness interventions on PTSD and SUD,Advocate for change in treatment,Data collection,Firsthand,Code demographics in order to describe sample of participants across studies,Acknowledge,Comprehensiveness,Direct,,
9,Impact of mindfulness interventions on PTSD and SUD,Advocate for change in treatment,Data collection,Firsthand,Code any way that studies vary systematically in order to check moderators during meta-analysis,Acknowledge,Comprehensiveness,Direct,,
9,Impact of mindfulness interventions on PTSD and SUD,Advocate for change in treatment,Data collection,Firsthand,Code whatever you can get to estimate effect size,Reduce,Limited availability of information,Direct,,
9,Impact of mindfulness interventions on PTSD and SUD,Advocate for change in treatment,Data collection,Firsthand,Derive effect sizes from insufficient information provided in papers by making additional conservative assumptions,Reduce,Limited availability of information,Direct,Sometimes not all information needed to compute effect size is reported,
9,Impact of mindfulness interventions on PTSD and SUD,Advocate for change in treatment,Data collection,Firsthand,Ask study authors for missing/unreported information,Reduce,Limited availability of information,Direct,Journal editors will not always catch mistakes and omissions,
9,Impact of mindfulness interventions on PTSD and SUD,Advocate for change in treatment,Communication,Hypothetical,Communicate effect size through whatever units the audience will recognize,Reduce,Ease of understanding,Indirect,,
9,Impact of mindfulness interventions on PTSD and SUD,Advocate for change in treatment,Communication,Hypothetical,Emphasize effect size estimation (rather than statistical significance),Reduce,Conceptual clarity,Indirect,Dichotomous thinking about outcomes relies on arbitrary threshold,
9,Impact of mindfulness interventions on PTSD and SUD,Advocate for change in treatment,Data collection,Firsthand,Separate spreadsheets to code inclusion/exclusion vs effect sizes,Reduce,Preference,Indirect,,
9,Impact of mindfulness interventions on PTSD and SUD,Advocate for change in treatment,Meta-analysis,Firsthand,Pull data into R for all processing,Reduce,Preference,Indirect,,Interface between Excel and R to handle conditional data processing
9,Impact of mindfulness interventions on PTSD and SUD,Advocate for change in treatment,Meta-analysis,Firsthand,Group studies by treatment type across a variety of targeted symptoms,Reduce,Research questions,Direct,,
9,Impact of mindfulness interventions on PTSD and SUD,Advocate for change in treatment,Meta-analysis,Firsthand,Use categorization of control treatment as a moderator in meta-regression,Reduce,Research questions,Direct,,
9,Impact of mindfulness interventions on PTSD and SUD,Advocate for change in treatment,Communication,Firsthand,Do not report a contentious comparison of treatment effectiveness for two different patient groups,Suppress,Conceptual clarity,Direct,Some comparisons are conceptually invalid,
9,Remote measurement-based mental health monitoring,Determine effectiveness of new technology,Defining questions and objectives,Firsthand,Brainstorm possible groupings of studies with research team,Acknowledge,Confidence through consensus,Indirect,,Descriptive account of analytical decisions in codebook to promote reproducibility and allow authors to retrace their steps
9,Impact of mindfulness interventions on PTSD and SUD,Advocate for change in treatment,Meta-analysis,Secondhand,Exclude or include specific studies to cherry-pick results,Suppress,Limited tolerance for uncertainty or scientific process,Direct,Exclude or include specific studies to cherry-pick results,
9,Impact of mindfulness interventions on PTSD and SUD,Advocate for change in treatment,Meta-analysis,Firsthand,Restrict meta-analysis to between-subjects studies,Reduce,Standard practice,Direct,,
9,Impact of mindfulness interventions on PTSD and SUD,Advocate for change in treatment,Meta-analysis,Firsthand,Report within- and between-subjects studies separately because effect sizes are expected to be different,Reduce,Conceptual clarity,Direct,,
9,Impact of mindfulness interventions on PTSD and SUD,Advocate for change in treatment,Meta-analysis,Firsthand,Adjust effect size estimates to combine within- and between-subjects studies,Reduce,Standard practice,Direct,Imputation techniques are convoluted,
9,Impact of mindfulness interventions on PTSD and SUD,Advocate for change in treatment,Meta-analysis,Firsthand,Group studies in a way that avoids groups with small N,Reduce,Statistical power,Direct,Cannot estimate within-group variability for groups with small N,
9,Impact of mindfulness interventions on PTSD and SUD,Advocate for change in treatment,Meta-analysis,Firsthand,Use forest plots and trim and fill plots to informally check data quality,Acknowledge,Ease of understanding,Indirect,,
9,Impact of mindfulness interventions on PTSD and SUD,Advocate for change in treatment,Communication,Secondhand,Use forest plots and trim and fill plots in publication,Reduce,Standard practice,Direct,,
9,Impact of mindfulness interventions on PTSD and SUD,Advocate for change in treatment,Meta-analysis,Firsthand,Use meta-regression scatterplots to examine impact of predictors on effect sizes across studies with different weights,Reduce,Ease of understanding,Indirect,,
9,Impact of mindfulness interventions on PTSD and SUD,Advocate for change in treatment,Meta-analysis,Firsthand,Build a grouped forest plot to show how studies cluster for each level of a moderator,Reduce,Ease of understanding,Indirect,,
9,Impact of mindfulness interventions on PTSD and SUD,Advocate for change in treatment,Communication,Firsthand,Include custom table of study information in forest plot,Acknowledge,Comprehensiveness,Direct,Confusion about how to use unfamiliar visualization authoring tools,Customize default visualizations produced by software packages
9,Impact of mindfulness interventions on PTSD and SUD,Advocate for change in treatment,Communication,Firsthand,Change grouping and order of studies in forest plot to reflect model,Reduce,Ease of understanding,Indirect,Confusion about how to use unfamiliar visualization authoring tools,"Open source tools (e.g., chart packages in R) should interface cleanly with previous popular tools"
9,Impact of mindfulness interventions on PTSD and SUD,Advocate for change in treatment,Communication,Firsthand,Focus on part of analysis when presenting to stakeholders,Reduce,Limited tolerance for uncertainty or scientific process,Indirect,,
9,Impact of mindfulness interventions on PTSD and SUD,Advocate for change in treatment,Communication,Firsthand,Show effect sizes to stakeholders in forest plot emphasizing reliability of specific results rather than process details,Reduce,Ease of understanding,Indirect,,
9,Impact of mindfulness interventions on PTSD and SUD,Advocate for change in treatment,Communication,Hypothetical,"Convert outcomes into units that are familiar to stakeholders (e.g., number needed to treat in medical field)",Reduce,Standard practice,Indirect,Percentages and odds ratios are confusing,
9,Impact of mindfulness interventions on PTSD and SUD,Advocate for change in treatment,Communication,Hypothetical,Cater level of detail to expectations of stakeholders,Reduce,Limited tolerance for uncertainty or scientific process,Indirect,,
3,Economics of healthcare policy,Recommend spending priorities for healthcare providers,Literature review,Firsthand,Conduct a literature review to identify gaps and opportunities,Acknowledge,Comprehensiveness,Indirect,,
